# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
 85 -134.358   35.775    1.71   2   1    -0.25    -0.97    0.020    83.11
 86 -132.726   35.464    1.73   2   1    -0.13    -0.99    0.020    83.11
 87 -131.068   35.360    1.75   2   1    -0.00    -1.00    0.020    83.11
 88 -129.410   35.464    1.77   2   1     0.13    -0.99    0.020    83.11
 89 -127.778   35.775    1.79   2   1     0.25    -0.97    0.020    83.11
 90 -126.198   36.289    1.81   2   1     0.37    -0.93    0.020    83.11
 91 -124.695   36.996    1.83   2   1     0.48    -0.88    0.020    83.11
 92 -123.293   37.886    1.85   2   1     0.59    -0.81    0.020    83.11
 93 -122.013   38.945    1.87   2   1     0.68    -0.73    0.020    83.11
 94 -120.876   40.156    1.89   2   1     0.77    -0.64    0.020    83.11
 95 -119.899   41.500    1.91   2   1     0.84    -0.54    0.020    83.11
 96 -119.099   42.955    1.93   2   1     0.90    -0.43    0.020    83.11
 97 -118.487   44.500    1.95   2   1     0.95    -0.31    0.020    83.11
 98 -118.074   46.109    1.97   2   1     0.98    -0.19    0.020    83.11
 99 -117.866   47.757    1.99   2   1     1.00    -0.06    0.020    83.11
100  -59.961   98.006    2.01   2   1     1.00     0.06    0.020    83.11
101  -60.170   99.654    2.03   2   1     0.98     0.19    0.020    83.11
102  -60.583  101.263    2.05   2   1     0.95     0.31    0.020    83.11
103  -61.194  102.808    2.07   2   1     0.90     0.43    0.020    83.11
104  -61.995  104.263    2.09   2   1     0.84     0.54    0.020    83.11
105  -62.971  105.607    2.11   2   1     0.77     0.64    0.020    83.11
106  -64.108  106.818    2.13   2   1     0.68     0.73    0.020    83.11
107  -65.388  107.877    2.15   2   1     0.59     0.81    0.020    83.11
108  -66.791  108.767    2.17   2   1     0.48     0.88    0.020    83.11
109  -68.294  109.475    2.19   2   1     0.37     0.93    0.020    83.11
110  -69.874  109.988    2.21   2   1     0.25     0.97    0.020    83.11
111  -71.506  110.299    2.23   2   1     0.13     0.99    0.020    83.11
112  -73.163  110.403    2.25   2   1     0.00     1.00    0.020    83.11
113  -74.821  110.299    2.27   2   1    -0.13     0.99    0.020    83.11
114  -76.453  109.988    2.29   2   1    -0.25     0.97    0.020    83.11
115  -78.033  109.475    2.31   2   1    -0.37     0.93    0.020    83.11
116  -79.536  108.767    2.33   2   1    -0.48     0.88    0.020    83.11
117  -80.939  107.877    2.35   2   1    -0.59     0.81    0.020    83.11
118  -82.219  106.818    2.37   2   1    -0.68     0.73    0.020    83.11
119  -83.356  105.607    2.39   2   1    -0.77     0.64    0.020    83.11
120  -84.332  104.263    2.41   2   1    -0.84     0.54    0.020    83.11
121  -85.133  102.808    2.43   2   1    -0.90     0.43    0.020    83.11
122  -85.744  101.263    2.45   2   1    -0.95     0.31    0.020    83.11
123  -86.157   99.654    2.47   2   1    -0.98     0.19    0.020    83.11
124  -86.365   98.006    2.49   2   1    -1.00     0.06    0.020    83.11
125  -86.365   96.345    2.51   2   1    -1.00    -0.06    0.020    83.11
126  -86.157   94.697    2.53   2   1    -0.98    -0.19    0.020    83.11
127  -85.744   93.088    2.55   2   1    -0.95    -0.31    0.020    83.11
128  -85.133   91.543    2.57   2   1    -0.90    -0.43    0.020    83.11
129  -84.332   90.087    2.59   2   1    -0.84    -0.54    0.020    83.11
130  -83.356   88.744    2.61   2   1    -0.77    -0.64    0.020    83.11
131  -82.219   87.533    2.63   2   1    -0.68    -0.73    0.020    83.11
132  -80.939   86.474    2.65   2   1    -0.59    -0.81    0.020    83.11
133  -79.536   85.584    2.67   2   1    -0.48    -0.88    0.020    83.11
134  -78.033   84.876    2.69   2   1    -0.37    -0.93    0.020    83.11
135  -76.453   84.363    2.71   2   1    -0.25    -0.97    0.020    83.11
136  -74.821   84.052    2.73   2   1    -0.13    -0.99    0.020    83.11
137  -73.163   83.947    2.75   2   1    -0.00    -1.00    0.020    83.11
138  -71.506   84.052    2.77   2   1     0.13    -0.99    0.020    83.11
139  -69.874   84.363    2.79   2   1     0.25    -0.97    0.020    83.11
140  -68.294   84.876    2.81   2   1     0.37    -0.93    0.020    83.11
141  -66.791   85.584    2.83   2   1     0.48    -0.88    0.020    83.11
142  -65.388   86.474    2.85   2   1     0.59    -0.81    0.020    83.11
