# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0    3.779    3.803    0.00   2   1     1.00     0.01    0.002    23.75
  1    3.779    3.851    0.00   2   1     1.00     0.02    0.002    23.75
  2    3.778    3.898    0.01   2   1     1.00     0.03    0.002    23.75
  3    3.776    3.946    0.01   2   1     1.00     0.04    0.002    23.75
  4    3.773    3.993    0.01   2   1     1.00     0.06    0.002    23.75
  5    3.770    4.040    0.01   2   1     1.00     0.07    0.002    23.75
  6    3.767    4.088    0.01   2   1     1.00     0.08    0.002    23.75
  7    3.763    4.135    0.01   2   1     1.00     0.09    0.002    23.75
  8    3.758    4.182    0.02   2   1     0.99     0.11    0.002    23.75
  9    3.753    4.230    0.02   2   1     0.99     0.12    0.002    23.75
 10    3.747    4.277    0.02   2   1     0.99     0.13    0.002    23.75
 11    3.740    4.324    0.02   2   1     0.99     0.14    0.002    23.75
 12    3.733    4.371    0.03   2   1     0.99     0.16    0.002    23.75
 13    3.725    4.418    0.03   2   1     0.99     0.17    0.002    23.75
 14    3.717    4.464    0.03   2   1     0.98     0.18    0.002    23.75
 15    3.708    4.511    0.03   2   1     0.98     0.19    0.002    23.75
 16    3.698    4.558    0.03   2   1     0.98     0.21    0.002    23.75
 17    3.688    4.604    0.04   2   1     0.98     0.22    0.002    23.75
 18    3.678    4.650    0.04   2   1     0.97     0.23    0.002    23.75
 19    3.667    4.696    0.04   2   1     0.97     0.24    0.002    23.75
 20    3.655    4.742    0.04   2   1     0.97     0.25    0.002    23.75
 21    3.642    4.788    0.04   2   1     0.96     0.27    0.002    23.75
 22    3.629    4.834    0.04   2   1     0.96     0.28    0.002    23.75
 23    3.616    4.879    0.05   2   1     0.96     0.29    0.002    23.75
 24    3.602    4.925    0.05   2   1     0.95     0.30    0.002    23.75
 25    3.587    4.970    0.05   2   1     0.95     0.31    0.002    23.75
 26    3.572    5.015    0.05   2   1     0.95     0.33    0.002    23.75
 27    3.556    5.060    0.06   2   1     0.94     0.34    0.002    23.75
 28    3.540    5.104    0.06   2   1     0.94     0.35    0.002    23.75
 29    3.523    5.149    0.06   2   1     0.93     0.36    0.002    23.75
 30    3.505    5.193    0.06   2   1     0.93     0.37    0.002    23.75
 31    3.487    5.237    0.06   2   1     0.92     0.39    0.002    23.75
 32    3.469    5.280    0.07   2   1     0.92     0.40    0.002    23.75
 33    3.449    5.324    0.07   2   1     0.91     0.41    0.002    23.75
 34    3.430    5.367    0.07   2   1     0.91     0.42    0.002    23.75
 35    3.410    5.410    0.07   2   1     0.90     0.43    0.002    23.75
 36    3.389    5.453    0.07   2   1     0.90     0.44    0.002    23.75
 37    3.368    5.495    0.07   2   1     0.89     0.45    0.002    23.75
 38    3.346    5.537    0.08   2   1     0.89     0.47    0.002    23.75
 39    3.323    5.579    0.08   2   1     0.88     0.48    0.002    23.75
 40    3.300    5.621    0.08   2   1     0.87     0.49    0.002    23.75
 41    3.277    5.662    0.08   2   1     0.87     0.50    0.002    23.75
 42    3.253    5.703    0.09   2   1     0.86     0.51    0.002    23.75
 43    3.229    5.744    0.09   2   1     0.85     0.52    0.002    23.75
 44    3.204    5.784    0.09   2   1     0.85     0.53    0.002    23.75
 45    3.178    5.825    0.09   2   1     0.84     0.54    0.002    23.75
 46    3.152    5.864    0.09   2   1     0.83     0.55    0.002    23.75
 47    3.126    5.904    0.10   2   1     0.83     0.56    0.002    23.75
 48    3.099    5.943    0.10   2   1     0.82     0.57    0.002    23.75
 49    3.072    5.982    0.10   2   1     0.81     0.58    0.002    23.75
 50    3.044    6.020    0.10   2   1     0.81     0.59    0.002    23.75
 51    3.015    6.058    0.10   2   1     0.80     0.60    0.002    23.75
 52    2.986    6.096    0.10   2   1     0.79     0.61    0.002    23.75
 53    2.957    6.133    0.11   2   1     0.78     0.62    0.002    23.75
 54    2.927    6.170    0.11   2   1     0.77     0.63    0.002    23.75
 55    2.897    6.207    0.11   2   1     0.77     0.64    0.002    23.75
 56    2.866    6.243    0.11   2   1     0.76     0.65    0.002    23.75
 57    2.835    6.279    0.12   2   1     0.75     0.66    0.002    23.75
 58    2.803    6.314    0.12   2   1     0.74     0.67    0.002    23.75
 59    2.771    6.349    0.12   2   1     0.73     0.68    0.002    23.75
 60    2.739    6.384    0.12   2   1     0.72     0.69    0.002    23.75
 61    2.706    6.418    0.12   2   1     0.72     0.70    0.002    23.75
 62    2.672    6.452    0.12   2   1     0.71     0.71    0.002    23.75
 63    2.639    6.485    0.13   2   1     0.70     0.72    0.002    23.75
 64    2.604    6.518    0.13   2   1     0.69     0.72    0.002    23.75
 65    2.570    6.551    0.13   2   1     0.68     0.73    0.002    23.75
 66    2.535    6.583    0.13   2   1     0.67     0.74    0.002    23.75
 67    2.499    6.614    0.14   2   1     0.66     0.75    0.002    23.75
 68    2.464    6.646    0.14   2   1     0.65     0.76    0.002    23.75
 69    2.427    6.676    0.14   2   1     0.64     0.77    0.002    23.75
 70    2.391    6.707    0.14   2   1     0.63     0.77    0.002    23.75
 71    2.354    6.736    0.14   2   1     0.62     0.78    0.002    23.75
 72    2.316    6.766    0.14   2   1     0.61     0.79    0.002    23.75
 73    2.279    6.795    0.15   2   1     0.60     0.80    0.002    23.75
 74    2.241    6.823    0.15   2   1     0.59     0.81    0.002    23.75
 75    2.202    6.851    0.15   2   1     0.58     0.81    0.002    23.75
 76    2.163    6.878    0.15   2   1     0.57     0.82    0.002    23.75
 77    2.124    6.905    0.15   2   1     0.56     0.83    0.002    23.75
 78    2.085    6.932    0.16   2   1     0.55     0.83    0.002    23.75
 79    2.045    6.958    0.16   2   1     0.54     0.84    0.002    23.75
 80    2.005    6.983    0.16   2   1     0.53     0.85    0.002    23.75
 81    1.965    7.008    0.16   2   1     0.52     0.85    0.002    23.75
 82    1.924    7.033    0.17   2   1     0.51     0.86    0.002    23.75
 83    1.883    7.057    0.17   2   1     0.50     0.87    0.002    23.75
 84    1.842    7.080    0.17   2   1     0.49     0.87    0.002    23.75
 85    1.800    7.103    0.17   2   1     0.48     0.88    0.002    23.75
 86    1.758    7.125    0.17   2   1     0.47     0.89    0.002    23.75
 87    1.716    7.147    0.17   2   1     0.45     0.89    0.002    23.75
 88    1.673    7.168    0.18   2   1     0.44     0.90    0.002    23.75
 89    1.631    7.189    0.18   2   1     0.43     0.90    0.002    23.75
 90    1.588    7.209    0.18   2   1     0.42     0.91    0.002    23.75
 91    1.544    7.229    0.18   2   1     0.41     0.91    0.002    23.75
 92    1.501    7.248    0.18   2   1     0.40     0.92    0.002    23.75
 93    1.457    7.267    0.19   2   1     0.39     0.92    0.002    23.75
 94    1.413    7.285    0.19   2   1     0.37     0.93    0.002    23.75
 95    1.369    7.302    0.19   2   1     0.36     0.93    0.002    23.75
 96    1.325    7.319    0.19   2   1     0.35     0.94    0.002    23.75
 97    1.280    7.335    0.20   2   1     0.34     0.94    0.002    23.75
 98    1.235    7.351    0.20   2   1     0.33     0.95    0.002    23.75
 99    1.190    7.367    0.20   2   1     0.31     0.95    0.002    23.75
100    1.145    7.381    0.20   2   1     0.30     0.95    0.002    23.75
101    1.100    7.395    0.20   2   1     0.29     0.96    0.002    23.75
102    1.054    7.409    0.20   2   1     0.28     0.96    0.002    23.75
103    1.009    7.422    0.21   2   1     0.27     0.96    0.002    23.75
104    0.963    7.434    0.21   2   1     0.25     0.97    0.002    23.75
105    0.917    7.446    0.21   2   1     0.24     0.97    0.002    23.75
106    0.871    7.457    0.21   2   1     0.23     0.97    0.002    23.75
107    0.824    7.468    0.21   2   1     0.22     0.98    0.002    23.75
108    0.778    7.478    0.22   2   1     0.21     0.98    0.002    23.75
109    0.732    7.487    0.22   2   1     0.19     0.98    0.002    23.75
110    0.685    7.496    0.22   2   1     0.18     0.98    0.002    23.75
111    0.638    7.505    0.22   2   1     0.17     0.99    0.002    23.75
112    0.591    7.512    0.23   2   1     0.16     0.99    0.002    23.75
113    0.544    7.520    0.23   2   1     0.14     0.99    0.002    23.75
114    0.497    7.526    0.23   2   1     0.13     0.99    0.002    23.75
115    0.450    7.532    0.23   2   1     0.12     0.99    0.002    23.75
116    0.403    7.537    0.23   2   1     0.11     0.99    0.002    23.75
117    0.356    7.542    0.23   2   1     0.09     1.00    0.002    23.75
118    0.308    7.546    0.24   2   1     0.08     1.00    0.002    23.75
119    0.261    7.550    0.24   2   1     0.07     1.00    0.002    23.75
120    0.214    7.553    0.24   2   1     0.06     1.00    0.002    23.75
121    0.166    7.555    0.24   2   1     0.04     1.00    0.002    23.75
122    0.119    7.557    0.24   2   1     0.03     1.00    0.002    23.75
123    0.071    7.558    0.25   2   1     0.02     1.00    0.002    23.75
124    0.024    7.559    0.25   2   1     0.01     1.00    0.002    23.75
125   -0.024    7.559    0.25   2   1    -0.01     1.00    0.002    23.75
