# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0    3.779   -3.756    0.00   2   1     1.00     0.01    0.002    23.75
  1    3.779   -3.708    0.00   2   1     1.00     0.02    0.002    23.75
  2    3.778   -3.661    0.01   2   1     1.00     0.03    0.002    23.75
  3    3.776   -3.613    0.01   2   1     1.00     0.04    0.002    23.75
  4    3.773   -3.566    0.01   2   1     1.00     0.06    0.002    23.75
  5    3.770   -3.518    0.01   2   1     1.00     0.07    0.002    23.75
  6    3.767   -3.471    0.01   2   1     1.00     0.08    0.002    23.75
  7    3.763   -3.424    0.01   2   1     1.00     0.09    0.002    23.75
  8    3.758   -3.377    0.02   2   1     0.99     0.11    0.002    23.75
  9    3.753   -3.329    0.02   2   1     0.99     0.12    0.002    23.75
 10    3.747   -3.282    0.02   2   1     0.99     0.13    0.002    23.75
 11    3.740   -3.235    0.02   2   1     0.99     0.14    0.002    23.75
 12    3.733   -3.188    0.03   2   1     0.99     0.16    0.002    23.75
 13    3.725   -3.141    0.03   2   1     0.99     0.17    0.002    23.75
 14    3.717   -3.095    0.03   2   1     0.98     0.18    0.002    23.75
 15    3.708   -3.048    0.03   2   1     0.98     0.19    0.002    23.75
 16    3.698   -3.001    0.03   2   1     0.98     0.21    0.002    23.75
 17    3.688   -2.955    0.04   2   1     0.98     0.22    0.002    23.75
 18    3.678   -2.909    0.04   2   1     0.97     0.23    0.002    23.75
 19    3.667   -2.863    0.04   2   1     0.97     0.24    0.002    23.75
 20    3.655   -2.817    0.04   2   1     0.97     0.25    0.002    23.75
 21    3.642   -2.771    0.04   2   1     0.96     0.27    0.002    23.75
 22    3.629   -2.725    0.04   2   1     0.96     0.28    0.002    23.75
 23    3.616   -2.679    0.05   2   1     0.96     0.29    0.002    23.75
 24    3.602   -2.634    0.05   2   1     0.95     0.30    0.002    23.75
 25    3.587   -2.589    0.05   2   1     0.95     0.31    0.002    23.75
 26    3.572   -2.544    0.05   2   1     0.95     0.33    0.002    23.75
 27    3.556   -2.499    0.06   2   1     0.94     0.34    0.002    23.75
 28    3.540   -2.455    0.06   2   1     0.94     0.35    0.002    23.75
 29    3.523   -2.410    0.06   2   1     0.93     0.36    0.002    23.75
 30    3.505   -2.366    0.06   2   1     0.93     0.37    0.002    23.75
 31    3.487   -2.322    0.06   2   1     0.92     0.39    0.002    23.75
