# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0   -0.000    0.024    0.00   2   1     1.00     0.01    0.002    23.75
  1   -0.001    0.071    0.00   2   1     1.00     0.02    0.002    23.75
  2   -0.002    0.119    0.01   2   1     1.00     0.03    0.002    23.75
  3   -0.004    0.166    0.01   2   1     1.00     0.04    0.002    23.75
  4   -0.006    0.214    0.01   2   1     1.00     0.06    0.002    23.75
  5   -0.009    0.261    0.01   2   1     1.00     0.07    0.002    23.75
  6   -0.013    0.308    0.01   2   1     1.00     0.08    0.002    23.75
  7   -0.017    0.356    0.01   2   1     1.00     0.09    0.002    23.75
  8   -0.022    0.403    0.02   2   1     0.99     0.11    0.002    23.75
  9   -0.027    0.450    0.02   2   1     0.99     0.12    0.002    23.75
 10   -0.033    0.497    0.02   2   1     0.99     0.13    0.002    23.75
 11   -0.039    0.544    0.02   2   1     0.99     0.14    0.002    23.75
 12   -0.047    0.591    0.03   2   1     0.99     0.16    0.002    23.75
 13   -0.054    0.638    0.03   2   1     0.99     0.17    0.002    23.75
 14   -0.063    0.685    0.03   2   1     0.98     0.18    0.002    23.75
 15   -0.071    0.732    0.03   2   1     0.98     0.19    0.002    23.75
 16   -0.081    0.778    0.03   2   1     0.98     0.21    0.002    23.75
 17   -0.091    0.824    0.04   2   1     0.98     0.22    0.002    23.75
 18   -0.102    0.871    0.04   2   1     0.97     0.23    0.002    23.75
 19   -0.113    0.917    0.04   2   1     0.97     0.24    0.002    23.75
 20   -0.125    0.963    0.04   2   1     0.97     0.25    0.002    23.75
 21   -0.137    1.009    0.04   2   1     0.96     0.27    0.002    23.75
 22   -0.150    1.054    0.04   2   1     0.96     0.28    0.002    23.75
 23   -0.164    1.100    0.05   2   1     0.96     0.29    0.002    23.75
 24   -0.178    1.145    0.05   2   1     0.95     0.30    0.002    23.75
 25   -0.192    1.190    0.05   2   1     0.95     0.31    0.002    23.75
 26   -0.208    1.235    0.05   2   1     0.95     0.33    0.002    23.75
 27   -0.223    1.280    0.06   2   1     0.94     0.34    0.002    23.75
 28   -0.240    1.325    0.06   2   1     0.94     0.35    0.002    23.75
 29   -0.257    1.369    0.06   2   1     0.93     0.36    0.002    23.75
 30   -0.274    1.413    0.06   2   1     0.93     0.37    0.002    23.75
