# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0    7.559    0.024    0.00   2   1     1.00     0.01    0.002    23.75
  1    7.558    0.071    0.00   2   1     1.00     0.02    0.002    23.75
  2    7.557    0.119    0.01   2   1     1.00     0.03    0.002    23.75
  3    7.555    0.166    0.01   2   1     1.00     0.04    0.002    23.75
  4    7.553    0.214    0.01   2   1     1.00     0.06    0.002    23.75
  5    7.550    0.261    0.01   2   1     1.00     0.07    0.002    23.75
  6    7.546    0.308    0.01   2   1     1.00     0.08    0.002    23.75
  7    7.542    0.356    0.01   2   1     1.00     0.09    0.002    23.75
  8    7.537    0.403    0.02   2   1     0.99     0.11    0.002    23.75
  9    7.532    0.450    0.02   2   1     0.99     0.12    0.002    23.75
 10    7.526    0.497    0.02   2   1     0.99     0.13    0.002    23.75
 11    7.520    0.544    0.02   2   1     0.99     0.14    0.002    23.75
 12    7.512    0.591    0.03   2   1     0.99     0.16    0.002    23.75
 13    7.505    0.638    0.03   2   1     0.99     0.17    0.002    23.75
 14    7.496    0.685    0.03   2   1     0.98     0.18    0.002    23.75
 15    7.487    0.732    0.03   2   1     0.98     0.19    0.002    23.75
 16    7.478    0.778    0.03   2   1     0.98     0.21    0.002    23.75
 17    7.468    0.824    0.04   2   1     0.98     0.22    0.002    23.75
 18    7.457    0.871    0.04   2   1     0.97     0.23    0.002    23.75
 19    7.446    0.917    0.04   2   1     0.97     0.24    0.002    23.75
 20    7.434    0.963    0.04   2   1     0.97     0.25    0.002    23.75
 21    7.422    1.009    0.04   2   1     0.96     0.27    0.002    23.75
 22    7.409    1.054    0.04   2   1     0.96     0.28    0.002    23.75
 23    7.395    1.100    0.05   2   1     0.96     0.29    0.002    23.75
 24    7.381    1.145    0.05   2   1     0.95     0.30    0.002    23.75
 25    7.367    1.190    0.05   2   1     0.95     0.31    0.002    23.75
 26    7.351    1.235    0.05   2   1     0.95     0.33    0.002    23.75
 27    7.335    1.280    0.06   2   1     0.94     0.34    0.002    23.75
 28    7.319    1.325    0.06   2   1     0.94     0.35    0.002    23.75
 29    7.302    1.369    0.06   2   1     0.93     0.36    0.002    23.75
 30    7.285    1.413    0.06   2   1     0.93     0.37    0.002    23.75
 31    7.267    1.457    0.06   2   1     0.92     0.39    0.002    23.75
 32    7.248    1.501    0.07   2   1     0.92     0.40    0.002    23.75
 33    7.229    1.544    0.07   2   1     0.91     0.41    0.002    23.75
 34    7.209    1.588    0.07   2   1     0.91     0.42    0.002    23.75
 35    7.189    1.631    0.07   2   1     0.90     0.43    0.002    23.75
 36    7.168    1.673    0.07   2   1     0.90     0.44    0.002    23.75
 37    7.147    1.716    0.07   2   1     0.89     0.45    0.002    23.75
 38    7.125    1.758    0.08   2   1     0.89     0.47    0.002    23.75
 39    7.103    1.800    0.08   2   1     0.88     0.48    0.002    23.75
 40    7.080    1.842    0.08   2   1     0.87     0.49    0.002    23.75
 41    7.057    1.883    0.08   2   1     0.87     0.50    0.002    23.75
 42    7.033    1.924    0.09   2   1     0.86     0.51    0.002    23.75
 43    7.008    1.965    0.09   2   1     0.85     0.52    0.002    23.75
 44    6.983    2.005    0.09   2   1     0.85     0.53    0.002    23.75
 45    6.958    2.045    0.09   2   1     0.84     0.54    0.002    23.75
 46    6.932    2.085    0.09   2   1     0.83     0.55    0.002    23.75
 47    6.905    2.124    0.10   2   1     0.83     0.56    0.002    23.75
 48    6.878    2.163    0.10   2   1     0.82     0.57    0.002    23.75
 49    6.851    2.202    0.10   2   1     0.81     0.58    0.002    23.75
 50    6.823    2.241    0.10   2   1     0.81     0.59    0.002    23.75
 51    6.795    2.279    0.10   2   1     0.80     0.60    0.002    23.75
 52    6.766    2.316    0.10   2   1     0.79     0.61    0.002    23.75
 53    6.736    2.354    0.11   2   1     0.78     0.62    0.002    23.75
 54    6.707    2.391    0.11   2   1     0.77     0.63    0.002    23.75
 55    6.676    2.427    0.11   2   1     0.77     0.64    0.002    23.75
 56    6.646    2.464    0.11   2   1     0.76     0.65    0.002    23.75
 57    6.614    2.499    0.12   2   1     0.75     0.66    0.002    23.75
 58    6.583    2.535    0.12   2   1     0.74     0.67    0.002    23.75
 59    6.551    2.570    0.12   2   1     0.73     0.68    0.002    23.75
 60    6.518    2.604    0.12   2   1     0.72     0.69    0.002    23.75
 61    6.485    2.639    0.12   2   1     0.72     0.70    0.002    23.75
 62    6.452    2.672    0.12   2   1     0.71     0.71    0.002    23.75
 63    6.418    2.706    0.13   2   1     0.70     0.72    0.002    23.75
 64    6.384    2.739    0.13   2   1     0.69     0.72    0.002    23.75
 65    6.349    2.771    0.13   2   1     0.68     0.73    0.002    23.75
 66    6.314    2.803    0.13   2   1     0.67     0.74    0.002    23.75
 67    6.279    2.835    0.14   2   1     0.66     0.75    0.002    23.75
 68    6.243    2.866    0.14   2   1     0.65     0.76    0.002    23.75
 69    6.207    2.897    0.14   2   1     0.64     0.77    0.002    23.75
 70    6.170    2.927    0.14   2   1     0.63     0.77    0.002    23.75
 71    6.133    2.957    0.14   2   1     0.62     0.78    0.002    23.75
 72    6.096    2.986    0.14   2   1     0.61     0.79    0.002    23.75
 73    6.058    3.015    0.15   2   1     0.60     0.80    0.002    23.75
 74    6.020    3.044    0.15   2   1     0.59     0.81    0.002    23.75
 75    5.982    3.072    0.15   2   1     0.58     0.81    0.002    23.75
 76    5.943    3.099    0.15   2   1     0.57     0.82    0.002    23.75
 77    5.904    3.126    0.15   2   1     0.56     0.83    0.002    23.75
 78    5.864    3.152    0.16   2   1     0.55     0.83    0.002    23.75
 79    5.825    3.178    0.16   2   1     0.54     0.84    0.002    23.75
 80    5.784    3.204    0.16   2   1     0.53     0.85    0.002    23.75
 81    5.744    3.229    0.16   2   1     0.52     0.85    0.002    23.75
 82    5.703    3.253    0.17   2   1     0.51     0.86    0.002    23.75
 83    5.662    3.277    0.17   2   1     0.50     0.87    0.002    23.75
 84    5.621    3.300    0.17   2   1     0.49     0.87    0.002    23.75
 85    5.579    3.323    0.17   2   1     0.48     0.88    0.002    23.75
 86    5.537    3.346    0.17   2   1     0.47     0.89    0.002    23.75
 87    5.495    3.368    0.17   2   1     0.45     0.89    0.002    23.75
 88    5.453    3.389    0.18   2   1     0.44     0.90    0.002    23.75
 89    5.410    3.410    0.18   2   1     0.43     0.90    0.002    23.75
 90    5.367    3.430    0.18   2   1     0.42     0.91    0.002    23.75
 91    5.324    3.449    0.18   2   1     0.41     0.91    0.002    23.75
 92    5.280    3.469    0.18   2   1     0.40     0.92    0.002    23.75
 93    5.237    3.487    0.19   2   1     0.39     0.92    0.002    23.75
 94    5.193    3.505    0.19   2   1     0.37     0.93    0.002    23.75
 95    5.149    3.523    0.19   2   1     0.36     0.93    0.002    23.75
 96    5.104    3.540    0.19   2   1     0.35     0.94    0.002    23.75
 97    5.060    3.556    0.20   2   1     0.34     0.94    0.002    23.75
 98    5.015    3.572    0.20   2   1     0.33     0.95    0.002    23.75
 99    4.970    3.587    0.20   2   1     0.31     0.95    0.002    23.75
100    4.925    3.602    0.20   2   1     0.30     0.95    0.002    23.75
101    4.879    3.616    0.20   2   1     0.29     0.96    0.002    23.75
102    4.834    3.629    0.20   2   1     0.28     0.96    0.002    23.75
103    4.788    3.642    0.21   2   1     0.27     0.96    0.002    23.75
104    4.742    3.655    0.21   2   1     0.25     0.97    0.002    23.75
105    4.696    3.667    0.21   2   1     0.24     0.97    0.002    23.75
106    4.650    3.678    0.21   2   1     0.23     0.97    0.002    23.75
107    4.604    3.688    0.21   2   1     0.22     0.98    0.002    23.75
108    4.558    3.698    0.22   2   1     0.21     0.98    0.002    23.75
109    4.511    3.708    0.22   2   1     0.19     0.98    0.002    23.75
110    4.464    3.717    0.22   2   1     0.18     0.98    0.002    23.75
111    4.418    3.725    0.22   2   1     0.17     0.99    0.002    23.75
112    4.371    3.733    0.23   2   1     0.16     0.99    0.002    23.75
113    4.324    3.740    0.23   2   1     0.14     0.99    0.002    23.75
114    4.277    3.747    0.23   2   1     0.13     0.99    0.002    23.75
115    4.230    3.753    0.23   2   1     0.12     0.99    0.002    23.75
116    4.182    3.758    0.23   2   1     0.11     0.99    0.002    23.75
117    4.135    3.763    0.23   2   1     0.09     1.00    0.002    23.75
118    4.088    3.767    0.24   2   1     0.08     1.00    0.002    23.75
119    4.040    3.770    0.24   2   1     0.07     1.00    0.002    23.75
120    3.993    3.773    0.24   2   1     0.06     1.00    0.002    23.75
121    3.946    3.776    0.24   2   1     0.04     1.00    0.002    23.75
122    3.898    3.778    0.24   2   1     0.03     1.00    0.002    23.75
123    3.851    3.779    0.25   2   1     0.02     1.00    0.002    23.75
124    3.803    3.779    0.25   2   1     0.01     1.00    0.002    23.75
125    3.756    3.779    0.25   2   1    -0.01     1.00    0.002    23.75
126    3.708    3.779    0.25   2   1    -0.02     1.00    0.002    23.75
127    3.661    3.778    0.26   2   1    -0.03     1.00    0.002    23.75
128    3.613    3.776    0.26   2   1    -0.04     1.00    0.002    23.75
129    3.566    3.773    0.26   2   1    -0.06     1.00    0.002    23.75
130    3.518    3.770    0.26   2   1    -0.07     1.00    0.002    23.75
131    3.471    3.767    0.26   2   1    -0.08     1.00    0.002    23.75
132    3.424    3.763    0.27   2   1    -0.09     1.00    0.002    23.75
133    3.377    3.758    0.27   2   1    -0.11     0.99    0.002    23.75
134    3.329    3.753    0.27   2   1    -0.12     0.99    0.002    23.75
135    3.282    3.747    0.27   2   1    -0.13     0.99    0.002    23.75
136    3.235    3.740    0.27   2   1    -0.14     0.99    0.002    23.75
137    3.188    3.733    0.28   2   1    -0.16     0.99    0.002    23.75
138    3.141    3.725    0.28   2   1    -0.17     0.99    0.002    23.75
139    3.095    3.717    0.28   2   1    -0.18     0.98    0.002    23.75
140    3.048    3.708    0.28   2   1    -0.19     0.98    0.002    23.75
141    3.001    3.698    0.28   2   1    -0.21     0.98    0.002    23.75
142    2.955    3.688    0.28   2   1    -0.22     0.98    0.002    23.75
143    2.909    3.678    0.29   2   1    -0.23     0.97    0.002    23.75
144    2.863    3.667    0.29   2   1    -0.24     0.97    0.002    23.75
145    2.817    3.655    0.29   2   1    -0.25     0.97    0.002    23.75
146    2.771    3.642    0.29   2   1    -0.27     0.96    0.002    23.75
147    2.725    3.629    0.29   2   1    -0.28     0.96    0.002    23.75
148    2.679    3.616    0.30   2   1    -0.29     0.96    0.002    23.75
149    2.634    3.602    0.30   2   1    -0.30     0.95    0.002    23.75
150    2.589    3.587    0.30   2   1    -0.31     0.95    0.002    23.75
151    2.544    3.572    0.30   2   1    -0.33     0.95    0.002    23.75
152    2.499    3.556    0.30   2   1    -0.34     0.94    0.002    23.75
153    2.455    3.540    0.31   2   1    -0.35     0.94    0.002    23.75
154    2.410    3.523    0.31   2   1    -0.36     0.93    0.002    23.75
155    2.366    3.505    0.31   2   1    -0.37     0.93    0.002    23.75
156    2.322    3.487    0.31   2   1    -0.39     0.92    0.002    23.75
157    2.278    3.469    0.32   2   1    -0.40     0.92    0.002    23.75
158    2.235    3.449    0.32   2   1    -0.41     0.91    0.002    23.75
159    2.192    3.430    0.32   2   1    -0.42     0.91    0.002    23.75
160    2.149    3.410    0.32   2   1    -0.43     0.90    0.002    23.75
161    2.106    3.389    0.32   2   1    -0.44     0.90    0.002    23.75
162    2.064    3.368    0.33   2   1    -0.45     0.89    0.002    23.75
163    2.021    3.346    0.33   2   1    -0.47     0.89    0.002    23.75
164    1.980    3.323    0.33   2   1    -0.48     0.88    0.002    23.75
165    1.938    3.300    0.33   2   1    -0.49     0.87    0.002    23.75
166    1.897    3.277    0.33   2   1    -0.50     0.87    0.002    23.75
167    1.856    3.253    0.34   2   1    -0.51     0.86    0.002    23.75
168    1.815    3.229    0.34   2   1    -0.52     0.85    0.002    23.75
169    1.774    3.204    0.34   2   1    -0.53     0.85    0.002    23.75
170    1.734    3.178    0.34   2   1    -0.54     0.84    0.002    23.75
171    1.695    3.152    0.34   2   1    -0.55     0.83    0.002    23.75
172    1.655    3.126    0.34   2   1    -0.56     0.83    0.002    23.75
173    1.616    3.099    0.35   2   1    -0.57     0.82    0.002    23.75
174    1.577    3.072    0.35   2   1    -0.58     0.81    0.002    23.75
175    1.539    3.044    0.35   2   1    -0.59     0.81    0.002    23.75
176    1.501    3.015    0.35   2   1    -0.60     0.80    0.002    23.75
177    1.463    2.986    0.35   2   1    -0.61     0.79    0.002    23.75
178    1.426    2.957    0.36   2   1    -0.62     0.78    0.002    23.75
179    1.389    2.927    0.36   2   1    -0.63     0.77    0.002    23.75
180    1.352    2.897    0.36   2   1    -0.64     0.77    0.002    23.75
181    1.316    2.866    0.36   2   1    -0.65     0.76    0.002    23.75
182    1.280    2.835    0.36   2   1    -0.66     0.75    0.002    23.75
183    1.245    2.803    0.37   2   1    -0.67     0.74    0.002    23.75
184    1.210    2.771    0.37   2   1    -0.68     0.73    0.002    23.75
185    1.175    2.739    0.37   2   1    -0.69     0.72    0.002    23.75
186    1.141    2.706    0.37   2   1    -0.70     0.72    0.002    23.75
187    1.107    2.672    0.38   2   1    -0.71     0.71    0.002    23.75
188    1.074    2.639    0.38   2   1    -0.72     0.70    0.002    23.75
189    1.041    2.604    0.38   2   1    -0.72     0.69    0.002    23.75
190    1.008    2.570    0.38   2   1    -0.73     0.68    0.002    23.75
191    0.976    2.535    0.38   2   1    -0.74     0.67    0.002    23.75
192    0.944    2.499    0.39   2   1    -0.75     0.66    0.002    23.75
193    0.913    2.464    0.39   2   1    -0.76     0.65    0.002    23.75
194    0.883    2.427    0.39   2   1    -0.77     0.64    0.002    23.75
195    0.852    2.391    0.39   2   1    -0.77     0.63    0.002    23.75
196    0.822    2.354    0.39   2   1    -0.78     0.62    0.002    23.75
197    0.793    2.316    0.40   2   1    -0.79     0.61    0.002    23.75
198    0.764    2.279    0.40   2   1    -0.80     0.60    0.002    23.75
199    0.736    2.241    0.40   2   1    -0.81     0.59    0.002    23.75
200    0.708    2.202    0.40   2   1    -0.81     0.58    0.002    23.75
201    0.680    2.163    0.40   2   1    -0.82     0.57    0.002    23.75
202    0.654    2.124    0.41   2   1    -0.83     0.56    0.002    23.75
203    0.627    2.085    0.41   2   1    -0.83     0.55    0.002    23.75
204    0.601    2.045    0.41   2   1    -0.84     0.54    0.002    23.75
205    0.576    2.005    0.41   2   1    -0.85     0.53    0.002    23.75
206    0.551    1.965    0.41   2   1    -0.85     0.52    0.002    23.75
207    0.526    1.924    0.41   2   1    -0.86     0.51    0.002    23.75
208    0.502    1.883    0.42   2   1    -0.87     0.50    0.002    23.75
209    0.479    1.842    0.42   2   1    -0.87     0.49    0.002    23.75
210    0.456    1.800    0.42   2   1    -0.88     0.48    0.002    23.75
211    0.434    1.758    0.42   2   1    -0.89     0.47    0.002    23.75
212    0.412    1.716    0.42   2   1    -0.89     0.45    0.002    23.75
213    0.391    1.673    0.43   2   1    -0.90     0.44    0.002    23.75
214    0.370    1.631    0.43   2   1    -0.90     0.43    0.002    23.75
215    0.350    1.588    0.43   2   1    -0.91     0.42    0.002    23.75
216    0.330    1.544    0.43   2   1    -0.91     0.41    0.002    23.75
217    0.311    1.501    0.43   2   1    -0.92     0.40    0.002    23.75
218    0.292    1.457    0.44   2   1    -0.92     0.39    0.002    23.75
219    0.274    1.413    0.44   2   1    -0.93     0.37    0.002    23.75
220    0.257    1.369    0.44   2   1    -0.93     0.36    0.002    23.75
221    0.240    1.325    0.44   2   1    -0.94     0.35    0.002    23.75
222    0.223    1.280    0.45   2   1    -0.94     0.34    0.002    23.75
223    0.208    1.235    0.45   2   1    -0.95     0.33    0.002    23.75
224    0.192    1.190    0.45   2   1    -0.95     0.31    0.002    23.75
225    0.178    1.145    0.45   2   1    -0.95     0.30    0.002    23.75
