# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
 90    3.175    3.430    0.18   2   1     0.23     0.97    0.002    44.24
 91    3.089    3.449    0.18   2   1     0.22     0.98    0.002    44.42
 92    3.002    3.469    0.18   2   1     0.21     0.98    0.002    44.60
 93    2.915    3.487    0.19   2   1     0.20     0.98    0.002    44.77
 94    2.827    3.505    0.19   2   1     0.20     0.98    0.002    44.93
 95    2.738    3.523    0.19   2   1     0.19     0.98    0.002    45.10
 96    2.650    3.540    0.19   2   1     0.18     0.98    0.002    45.25
 97    2.560    3.556    0.20   2   1     0.18     0.98    0.002    45.40
 98    2.471    3.572    0.20   2   1     0.17     0.99    0.002    45.55
 99    2.381    3.587    0.20   2   1     0.16     0.99    0.002    45.69
100    2.291    3.602    0.20   2   1     0.16     0.99    0.002    45.83
101    2.200    3.616    0.20   2   1     0.15     0.99    0.002    45.96
102    2.109    3.629    0.20   2   1     0.14     0.99    0.002    46.09
103    2.017    3.642    0.21   2   1     0.14     0.99    0.002    46.21
104    1.926    3.655    0.21   2   1     0.13     0.99    0.002    46.32
105    1.834    3.667    0.21   2   1     0.12     0.99    0.002    46.43
106    1.741    3.678    0.21   2   1     0.12     0.99    0.002    46.54
107    1.649    3.688    0.21   2   1     0.11     0.99    0.002    46.64
108    1.556    3.698    0.22   2   1     0.10     0.99    0.002    46.73
109    1.463    3.708    0.22   2   1     0.10     1.00    0.002    46.82
110    1.370    3.717    0.22   2   1     0.09     1.00    0.002    46.91
111    1.276    3.725    0.22   2   1     0.09     1.00    0.002    46.98
112    1.182    3.733    0.23   2   1     0.08     1.00    0.002    47.06
113    1.089    3.740    0.23   2   1     0.07     1.00    0.002    47.12
114    0.994    3.747    0.23   2   1     0.07     1.00    0.002    47.18
115    0.900    3.753    0.23   2   1     0.06     1.00    0.002    47.24
116    0.806    3.758    0.23   2   1     0.05     1.00    0.002    47.29
117    0.711    3.763    0.23   2   1     0.05     1.00    0.002    47.34
118    0.617    3.767    0.24   2   1     0.04     1.00    0.002    47.38
119    0.522    3.770    0.24   2   1     0.03     1.00    0.002    47.41
120    0.427    3.773    0.24   2   1     0.03     1.00    0.002    47.44
121    0.332    3.776    0.24   2   1     0.02     1.00    0.002    47.46
122    0.237    3.778    0.24   2   1     0.02     1.00    0.002    47.48
123    0.142    3.779    0.25   2   1     0.01     1.00    0.002    47.49
124    0.047    3.779    0.25   2   1     0.00     1.00    0.002    47.49
125   -0.047    3.779    0.25   2   1    -0.00     1.00    0.002    47.49
126   -0.142    3.779    0.25   2   1    -0.01     1.00    0.002    47.49
127   -0.237    3.778    0.26   2   1    -0.02     1.00    0.002    47.48
128   -0.332    3.776    0.26   2   1    -0.02     1.00    0.002    47.46
129   -0.427    3.773    0.26   2   1    -0.03     1.00    0.002    47.44
130   -0.522    3.770    0.26   2   1    -0.03     1.00    0.002    47.41
131   -0.617    3.767    0.26   2   1    -0.04     1.00    0.002    47.38
132   -0.711    3.763    0.27   2   1    -0.05     1.00    0.002    47.34
133   -0.806    3.758    0.27   2   1    -0.05     1.00    0.002    47.29
134   -0.900    3.753    0.27   2   1    -0.06     1.00    0.002    47.24
135   -0.994    3.747    0.27   2   1    -0.07     1.00    0.002    47.18
136   -1.089    3.740    0.27   2   1    -0.07     1.00    0.002    47.12
137   -1.182    3.733    0.28   2   1    -0.08     1.00    0.002    47.06
138   -1.276    3.725    0.28   2   1    -0.09     1.00    0.002    46.98
139   -1.370    3.717    0.28   2   1    -0.09     1.00    0.002    46.91
140   -1.463    3.708    0.28   2   1    -0.10     1.00    0.002    46.82
141   -1.556    3.698    0.28   2   1    -0.10     0.99    0.002    46.73
142   -1.649    3.688    0.28   2   1    -0.11     0.99    0.002    46.64
143   -1.741    3.678    0.29   2   1    -0.12     0.99    0.002    46.54
144   -1.834    3.667    0.29   2   1    -0.12     0.99    0.002    46.43
145   -1.926    3.655    0.29   2   1    -0.13     0.99    0.002    46.32
146   -2.017    3.642    0.29   2   1    -0.14     0.99    0.002    46.21
147   -2.109    3.629    0.29   2   1    -0.14     0.99    0.002    46.09
148   -2.200    3.616    0.30   2   1    -0.15     0.99    0.002    45.96
149   -2.291    3.602    0.30   2   1    -0.16     0.99    0.002    45.83
150   -2.381    3.587    0.30   2   1    -0.16     0.99    0.002    45.69
151   -2.471    3.572    0.30   2   1    -0.17     0.99    0.002    45.55
152   -2.560    3.556    0.30   2   1    -0.18     0.98    0.002    45.40
153   -2.650    3.540    0.31   2   1    -0.18     0.98    0.002    45.25
154   -2.738    3.523    0.31   2   1    -0.19     0.98    0.002    45.10
155   -2.827    3.505    0.31   2   1    -0.20     0.98    0.002    44.93
156   -2.915    3.487    0.31   2   1    -0.20     0.98    0.002    44.77
157   -3.002    3.469    0.32   2   1    -0.21     0.98    0.002    44.60
158   -3.089    3.449    0.32   2   1    -0.22     0.98    0.002    44.42
159   -3.175    3.430    0.32   2   1    -0.23     0.97    0.002    44.24
160   -3.261    3.410    0.32   2   1    -0.23     0.97    0.002    44.05
161   -3.347    3.389    0.32   2   1    -0.24     0.97    0.002    43.86
162   -3.432    3.368    0.33   2   1    -0.25     0.97    0.002    43.67
163   -3.516    3.346    0.33   2   1    -0.25     0.97    0.002    43.47
164   -3.600    3.323    0.33   2   1    -0.26     0.97    0.002    43.27
165   -3.683    3.300    0.33   2   1    -0.27     0.96    0.002    43.06
166   -3.766    3.277    0.33   2   1    -0.28     0.96    0.002    42.85
167   -3.848    3.253    0.34   2   1    -0.28     0.96    0.002    42.63
168   -3.929    3.229    0.34   2   1    -0.29     0.96    0.002    42.41
169   -4.010    3.204    0.34   2   1    -0.30     0.95    0.002    42.18
170   -4.090    3.178    0.34   2   1    -0.31     0.95    0.002    41.96
171   -4.170    3.152    0.34   2   1    -0.31     0.95    0.002    41.72
172   -4.249    3.126    0.34   2   1    -0.32     0.95    0.002    41.49
173   -4.327    3.099    0.35   2   1    -0.33     0.94    0.002    41.25
174   -4.405    3.072    0.35   2   1    -0.34     0.94    0.002    41.00
175   -4.481    3.044    0.35   2   1    -0.35     0.94    0.002    40.76
176   -4.557    3.015    0.35   2   1    -0.35     0.94    0.002    40.51
177   -4.633    2.986    0.35   2   1    -0.36     0.93    0.002    40.25
178   -4.708    2.957    0.36   2   1    -0.37     0.93    0.002    39.99
179   -4.782    2.927    0.36   2   1    -0.38     0.93    0.002    39.73
180   -4.855    2.897    0.36   2   1    -0.39     0.92    0.002    39.47
181   -4.927    2.866    0.36   2   1    -0.39     0.92    0.002    39.20
182   -4.999    2.835    0.36   2   1    -0.40     0.92    0.002    38.93
183   -5.070    2.803    0.37   2   1    -0.41     0.91    0.002    38.66
184   -5.140    2.771    0.37   2   1    -0.42     0.91    0.002    38.39
185   -5.209    2.739    0.37   2   1    -0.43     0.90    0.002    38.11
186   -5.277    2.706    0.37   2   1    -0.44     0.90    0.002    37.83
187   -5.345    2.672    0.38   2   1    -0.45     0.89    0.002    37.55
188   -5.412    2.639    0.38   2   1    -0.46     0.89    0.002    37.26
189   -5.478    2.604    0.38   2   1    -0.47     0.89    0.002    36.98
190   -5.543    2.570    0.38   2   1    -0.47     0.88    0.002    36.69
191   -5.607    2.535    0.38   2   1    -0.48     0.88    0.002    36.40
192   -5.670    2.499    0.39   2   1    -0.49     0.87    0.002    36.11
193   -5.732    2.464    0.39   2   1    -0.50     0.86    0.002    35.82
194   -5.794    2.427    0.39   2   1    -0.51     0.86    0.002    35.52
