# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
 90    3.969   11.147    0.18   2   1     0.52     0.86    0.002    62.88
 91    3.861   11.211    0.18   2   1     0.50     0.86    0.002    62.69
 92    3.753   11.273    0.18   2   1     0.49     0.87    0.002    62.51
 93    3.643   11.333    0.19   2   1     0.48     0.88    0.002    62.34
 94    3.533   11.392    0.19   2   1     0.46     0.89    0.002    62.17
 95    3.423   11.449    0.19   2   1     0.45     0.89    0.002    62.00
 96    3.312   11.504    0.19   2   1     0.44     0.90    0.002    61.83
 97    3.201   11.557    0.20   2   1     0.42     0.91    0.002    61.67
 98    3.089   11.608    0.20   2   1     0.41     0.91    0.002    61.52
 99    2.976   11.658    0.20   2   1     0.40     0.92    0.002    61.37
100    2.863   11.706    0.20   2   1     0.38     0.92    0.002    61.22
101    2.750   11.752    0.20   2   1     0.37     0.93    0.002    61.08
102    2.636   11.795    0.20   2   1     0.35     0.94    0.002    60.94
103    2.522   11.838    0.21   2   1     0.34     0.94    0.002    60.81
104    2.407   11.878    0.21   2   1     0.32     0.95    0.002    60.68
105    2.292   11.916    0.21   2   1     0.31     0.95    0.002    60.56
106    2.177   11.953    0.21   2   1     0.29     0.96    0.002    60.44
107    2.061   11.987    0.21   2   1     0.28     0.96    0.002    60.33
108    1.945   12.020    0.22   2   1     0.26     0.96    0.002    60.23
109    1.829   12.051    0.22   2   1     0.25     0.97    0.002    60.13
110    1.712   12.080    0.22   2   1     0.23     0.97    0.002    60.04
111    1.595   12.107    0.22   2   1     0.22     0.98    0.002    59.95
112    1.478   12.132    0.23   2   1     0.20     0.98    0.002    59.87
113    1.361   12.155    0.23   2   1     0.19     0.98    0.002    59.79
114    1.243   12.176    0.23   2   1     0.17     0.99    0.002    59.72
115    1.125   12.196    0.23   2   1     0.15     0.99    0.002    59.66
116    1.007   12.213    0.23   2   1     0.14     0.99    0.002    59.60
117    0.889   12.229    0.23   2   1     0.12     0.99    0.002    59.55
118    0.771   12.242    0.24   2   1     0.11     0.99    0.002    59.50
119    0.653   12.254    0.24   2   1     0.09     1.00    0.002    59.47
120    0.534   12.264    0.24   2   1     0.07     1.00    0.002    59.43
121    0.415   12.271    0.24   2   1     0.06     1.00    0.002    59.41
122    0.297   12.277    0.24   2   1     0.04     1.00    0.002    59.39
123    0.178   12.281    0.25   2   1     0.02     1.00    0.002    59.37
124    0.059   12.283    0.25   2   1     0.01     1.00    0.002    59.37
125   -0.059   12.283    0.25   2   1    -0.01     1.00    0.002    59.37
126   -0.178   12.281    0.25   2   1    -0.02     1.00    0.002    59.37
127   -0.297   12.277    0.26   2   1    -0.04     1.00    0.002    59.39
128   -0.415   12.271    0.26   2   1    -0.06     1.00    0.002    59.41
129   -0.534   12.264    0.26   2   1    -0.07     1.00    0.002    59.43
130   -0.653   12.254    0.26   2   1    -0.09     1.00    0.002    59.47
131   -0.771   12.242    0.26   2   1    -0.11     0.99    0.002    59.50
132   -0.889   12.229    0.27   2   1    -0.12     0.99    0.002    59.55
133   -1.007   12.213    0.27   2   1    -0.14     0.99    0.002    59.60
134   -1.125   12.196    0.27   2   1    -0.15     0.99    0.002    59.66
135   -1.243   12.176    0.27   2   1    -0.17     0.99    0.002    59.72
136   -1.361   12.155    0.27   2   1    -0.19     0.98    0.002    59.79
137   -1.478   12.132    0.28   2   1    -0.20     0.98    0.002    59.87
138   -1.595   12.107    0.28   2   1    -0.22     0.98    0.002    59.95
139   -1.712   12.080    0.28   2   1    -0.23     0.97    0.002    60.04
140   -1.829   12.051    0.28   2   1    -0.25     0.97    0.002    60.13
141   -1.945   12.020    0.28   2   1    -0.26     0.96    0.002    60.23
142   -2.061   11.987    0.28   2   1    -0.28     0.96    0.002    60.33
143   -2.177   11.953    0.29   2   1    -0.29     0.96    0.002    60.44
144   -2.292   11.916    0.29   2   1    -0.31     0.95    0.002    60.56
145   -2.407   11.878    0.29   2   1    -0.32     0.95    0.002    60.68
146   -2.522   11.838    0.29   2   1    -0.34     0.94    0.002    60.81
147   -2.636   11.795    0.29   2   1    -0.35     0.94    0.002    60.94
148   -2.750   11.752    0.30   2   1    -0.37     0.93    0.002    61.08
149   -2.863   11.706    0.30   2   1    -0.38     0.92    0.002    61.22
150   -2.976   11.658    0.30   2   1    -0.40     0.92    0.002    61.37
151   -3.089   11.608    0.30   2   1    -0.41     0.91    0.002    61.52
152   -3.201   11.557    0.30   2   1    -0.42     0.91    0.002    61.67
153   -3.312   11.504    0.31   2   1    -0.44     0.90    0.002    61.83
154   -3.423   11.449    0.31   2   1    -0.45     0.89    0.002    62.00
155   -3.533   11.392    0.31   2   1    -0.46     0.89    0.002    62.17
156   -3.643   11.333    0.31   2   1    -0.48     0.88    0.002    62.34
157   -3.753   11.273    0.32   2   1    -0.49     0.87    0.002    62.51
158   -3.861   11.211    0.32   2   1    -0.50     0.86    0.002    62.69
159   -3.969   11.147    0.32   2   1    -0.52     0.86    0.002    62.88
160   -4.077   11.081    0.32   2   1    -0.53     0.85    0.002    63.07
161   -4.183   11.014    0.32   2   1    -0.54     0.84    0.002    63.26
162   -4.290   10.944    0.33   2   1    -0.55     0.83    0.002    63.45
163   -4.395   10.873    0.33   2   1    -0.56     0.83    0.002    63.64
164   -4.500   10.801    0.33   2   1    -0.58     0.82    0.002    63.84
165   -4.604   10.726    0.33   2   1    -0.59     0.81    0.002    64.05
166   -4.707   10.650    0.33   2   1    -0.60     0.80    0.002    64.25
167   -4.810   10.573    0.34   2   1    -0.61     0.79    0.002    64.46
168   -4.912   10.493    0.34   2   1    -0.62     0.78    0.002    64.67
169   -5.013   10.412    0.34   2   1    -0.63     0.78    0.002    64.88
