# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
 90    1.588    3.430    0.18   2   1     0.42     0.91    0.002    23.75
 91    1.544    3.449    0.18   2   1     0.41     0.91    0.002    23.75
 92    1.501    3.469    0.18   2   1     0.40     0.92    0.002    23.75
 93    1.457    3.487    0.19   2   1     0.39     0.92    0.002    23.75
 94    1.413    3.505    0.19   2   1     0.37     0.93    0.002    23.75
 95    1.369    3.523    0.19   2   1     0.36     0.93    0.002    23.75
 96    1.325    3.540    0.19   2   1     0.35     0.94    0.002    23.75
 97    1.280    3.556    0.20   2   1     0.34     0.94    0.002    23.75
 98    1.235    3.572    0.20   2   1     0.33     0.95    0.002    23.75
 99    1.190    3.587    0.20   2   1     0.31     0.95    0.002    23.75
100    1.145    3.602    0.20   2   1     0.30     0.95    0.002    23.75
101    1.100    3.616    0.20   2   1     0.29     0.96    0.002    23.75
102    1.054    3.629    0.20   2   1     0.28     0.96    0.002    23.75
103    1.009    3.642    0.21   2   1     0.27     0.96    0.002    23.75
104    0.963    3.655    0.21   2   1     0.25     0.97    0.002    23.75
105    0.917    3.667    0.21   2   1     0.24     0.97    0.002    23.75
106    0.871    3.678    0.21   2   1     0.23     0.97    0.002    23.75
107    0.824    3.688    0.21   2   1     0.22     0.98    0.002    23.75
108    0.778    3.698    0.22   2   1     0.21     0.98    0.002    23.75
109    0.732    3.708    0.22   2   1     0.19     0.98    0.002    23.75
110    0.685    3.717    0.22   2   1     0.18     0.98    0.002    23.75
111    0.638    3.725    0.22   2   1     0.17     0.99    0.002    23.75
112    0.591    3.733    0.23   2   1     0.16     0.99    0.002    23.75
113    0.544    3.740    0.23   2   1     0.14     0.99    0.002    23.75
114    0.497    3.747    0.23   2   1     0.13     0.99    0.002    23.75
115    0.450    3.753    0.23   2   1     0.12     0.99    0.002    23.75
116    0.403    3.758    0.23   2   1     0.11     0.99    0.002    23.75
117    0.356    3.763    0.23   2   1     0.09     1.00    0.002    23.75
118    0.308    3.767    0.24   2   1     0.08     1.00    0.002    23.75
119    0.261    3.770    0.24   2   1     0.07     1.00    0.002    23.75
120    0.214    3.773    0.24   2   1     0.06     1.00    0.002    23.75
121    0.166    3.776    0.24   2   1     0.04     1.00    0.002    23.75
122    0.119    3.778    0.24   2   1     0.03     1.00    0.002    23.75
123    0.071    3.779    0.25   2   1     0.02     1.00    0.002    23.75
124    0.024    3.779    0.25   2   1     0.01     1.00    0.002    23.75
125   -0.024    3.779    0.25   2   1    -0.01     1.00    0.002    23.75
126   -0.071    3.779    0.25   2   1    -0.02     1.00    0.002    23.75
127   -0.119    3.778    0.26   2   1    -0.03     1.00    0.002    23.75
128   -0.166    3.776    0.26   2   1    -0.04     1.00    0.002    23.75
129   -0.214    3.773    0.26   2   1    -0.06     1.00    0.002    23.75
130   -0.261    3.770    0.26   2   1    -0.07     1.00    0.002    23.75
131   -0.308    3.767    0.26   2   1    -0.08     1.00    0.002    23.75
132   -0.356    3.763    0.27   2   1    -0.09     1.00    0.002    23.75
133   -0.403    3.758    0.27   2   1    -0.11     0.99    0.002    23.75
134   -0.450    3.753    0.27   2   1    -0.12     0.99    0.002    23.75
135   -0.497    3.747    0.27   2   1    -0.13     0.99    0.002    23.75
136   -0.544    3.740    0.27   2   1    -0.14     0.99    0.002    23.75
137   -0.591    3.733    0.28   2   1    -0.16     0.99    0.002    23.75
138   -0.638    3.725    0.28   2   1    -0.17     0.99    0.002    23.75
139   -0.685    3.717    0.28   2   1    -0.18     0.98    0.002    23.75
140   -0.732    3.708    0.28   2   1    -0.19     0.98    0.002    23.75
141   -0.778    3.698    0.28   2   1    -0.21     0.98    0.002    23.75
142   -0.824    3.688    0.28   2   1    -0.22     0.98    0.002    23.75
143   -0.871    3.678    0.29   2   1    -0.23     0.97    0.002    23.75
144   -0.917    3.667    0.29   2   1    -0.24     0.97    0.002    23.75
