# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
 90    3.969    9.432    0.18   2   1     0.45     0.89    0.002    60.46
 91    3.861    9.486    0.18   2   1     0.44     0.90    0.002    60.40
 92    3.753    9.539    0.18   2   1     0.43     0.90    0.002    60.34
 93    3.643    9.590    0.19   2   1     0.42     0.91    0.002    60.29
 94    3.533    9.639    0.19   2   1     0.41     0.91    0.002    60.23
 95    3.423    9.687    0.19   2   1     0.39     0.92    0.002    60.18
 96    3.312    9.734    0.19   2   1     0.38     0.92    0.002    60.13
 97    3.201    9.779    0.20   2   1     0.37     0.93    0.002    60.08
 98    3.089    9.823    0.20   2   1     0.36     0.93    0.002    60.03
 99    2.976    9.864    0.20   2   1     0.34     0.94    0.002    59.98
100    2.863    9.905    0.20   2   1     0.33     0.94    0.002    59.94
101    2.750    9.944    0.20   2   1     0.32     0.95    0.002    59.89
102    2.636    9.981    0.20   2   1     0.30     0.95    0.002    59.85
103    2.522   10.016    0.21   2   1     0.29     0.96    0.002    59.81
104    2.407   10.051    0.21   2   1     0.28     0.96    0.002    59.77
105    2.292   10.083    0.21   2   1     0.27     0.96    0.002    59.73
106    2.177   10.114    0.21   2   1     0.25     0.97    0.002    59.70
107    2.061   10.143    0.21   2   1     0.24     0.97    0.002    59.66
108    1.945   10.171    0.22   2   1     0.23     0.97    0.002    59.63
109    1.829   10.197    0.22   2   1     0.21     0.98    0.002    59.60
110    1.712   10.221    0.22   2   1     0.20     0.98    0.002    59.57
111    1.595   10.244    0.22   2   1     0.19     0.98    0.002    59.54
112    1.478   10.266    0.23   2   1     0.17     0.99    0.002    59.52
113    1.361   10.285    0.23   2   1     0.16     0.99    0.002    59.50
114    1.243   10.303    0.23   2   1     0.14     0.99    0.002    59.48
115    1.125   10.320    0.23   2   1     0.13     0.99    0.002    59.46
116    1.007   10.334    0.23   2   1     0.12     0.99    0.002    59.44
117    0.889   10.347    0.23   2   1     0.10     0.99    0.002    59.42
118    0.771   10.359    0.24   2   1     0.09     1.00    0.002    59.41
119    0.653   10.369    0.24   2   1     0.08     1.00    0.002    59.40
120    0.534   10.377    0.24   2   1     0.06     1.00    0.002    59.39
121    0.415   10.383    0.24   2   1     0.05     1.00    0.002    59.38
122    0.297   10.388    0.24   2   1     0.03     1.00    0.002    59.37
123    0.178   10.392    0.25   2   1     0.02     1.00    0.002    59.37
124    0.059   10.393    0.25   2   1     0.01     1.00    0.002    59.37
125   -0.059   10.393    0.25   2   1    -0.01     1.00    0.002    59.37
126   -0.178   10.392    0.25   2   1    -0.02     1.00    0.002    59.37
127   -0.297   10.388    0.26   2   1    -0.03     1.00    0.002    59.37
128   -0.415   10.383    0.26   2   1    -0.05     1.00    0.002    59.38
129   -0.534   10.377    0.26   2   1    -0.06     1.00    0.002    59.39
130   -0.653   10.369    0.26   2   1    -0.08     1.00    0.002    59.40
131   -0.771   10.359    0.26   2   1    -0.09     1.00    0.002    59.41
132   -0.889   10.347    0.27   2   1    -0.10     0.99    0.002    59.42
133   -1.007   10.334    0.27   2   1    -0.12     0.99    0.002    59.44
134   -1.125   10.320    0.27   2   1    -0.13     0.99    0.002    59.46
135   -1.243   10.303    0.27   2   1    -0.14     0.99    0.002    59.48
136   -1.361   10.285    0.27   2   1    -0.16     0.99    0.002    59.50
137   -1.478   10.266    0.28   2   1    -0.17     0.99    0.002    59.52
138   -1.595   10.244    0.28   2   1    -0.19     0.98    0.002    59.54
139   -1.712   10.221    0.28   2   1    -0.20     0.98    0.002    59.57
140   -1.829   10.197    0.28   2   1    -0.21     0.98    0.002    59.60
141   -1.945   10.171    0.28   2   1    -0.23     0.97    0.002    59.63
142   -2.061   10.143    0.28   2   1    -0.24     0.97    0.002    59.66
143   -2.177   10.114    0.29   2   1    -0.25     0.97    0.002    59.70
144   -2.292   10.083    0.29   2   1    -0.27     0.96    0.002    59.73
145   -2.407   10.051    0.29   2   1    -0.28     0.96    0.002    59.77
146   -2.522   10.016    0.29   2   1    -0.29     0.96    0.002    59.81
147   -2.636    9.981    0.29   2   1    -0.30     0.95    0.002    59.85
