# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
 85 -145.019   36.284    1.71   2   1    -0.25    -0.97    0.020    83.11
 86 -143.387   35.973    1.73   2   1    -0.13    -0.99    0.020    83.11
 87 -141.729   35.868    1.75   2   1    -0.00    -1.00    0.020    83.11
 88 -140.072   35.973    1.77   2   1     0.13    -0.99    0.020    83.11
 89 -138.440   36.284    1.79   2   1     0.25    -0.97    0.020    83.11
 90 -136.860   36.797    1.81   2   1     0.37    -0.93    0.020    83.11
 91 -135.357   37.505    1.83   2   1     0.48    -0.88    0.020    83.11
 92 -133.954   38.395    1.85   2   1     0.59    -0.81    0.020    83.11
 93 -132.674   39.454    1.87   2   1     0.68    -0.73    0.020    83.11
 94 -131.537   40.665    1.89   2   1     0.77    -0.64    0.020    83.11
 95 -130.561   42.009    1.91   2   1     0.84    -0.54    0.020    83.11
 96 -129.760   43.464    1.93   2   1     0.90    -0.43    0.020    83.11
 97 -129.149   45.009    1.95   2   1     0.95    -0.31    0.020    83.11
 98 -128.736   46.618    1.97   2   1     0.98    -0.19    0.020    83.11
 99 -128.527   48.266    1.99   2   1     1.00    -0.06    0.020    83.11
100 -100.182   99.024    2.01   2   1     1.00     0.06    0.020    83.11
101 -100.390  100.672    2.03   2   1     0.98     0.19    0.020    83.11
102 -100.803  102.281    2.05   2   1     0.95     0.31    0.020    83.11
103 -101.414  103.825    2.07   2   1     0.90     0.43    0.020    83.11
104 -102.215  105.281    2.09   2   1     0.84     0.54    0.020    83.11
105 -103.191  106.625    2.11   2   1     0.77     0.64    0.020    83.11
106 -104.328  107.836    2.13   2   1     0.68     0.73    0.020    83.11
107 -105.608  108.895    2.15   2   1     0.59     0.81    0.020    83.11
108 -107.011  109.785    2.17   2   1     0.48     0.88    0.020    83.11
109 -108.514  110.492    2.19   2   1     0.37     0.93    0.020    83.11
110 -110.094  111.006    2.21   2   1     0.25     0.97    0.020    83.11
111 -111.726  111.317    2.23   2   1     0.13     0.99    0.020    83.11
112 -113.384  111.421    2.25   2   1     0.00     1.00    0.020    83.11
113 -115.041  111.317    2.27   2   1    -0.13     0.99    0.020    83.11
114 -116.673  111.006    2.29   2   1    -0.25     0.97    0.020    83.11
