# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
 90   14.321   12.329    0.11   2   1     0.76     0.65    0.001   118.73
 91   14.224   12.441    0.11   2   1     0.75     0.66    0.001   118.73
 92   14.126   12.553    0.12   2   1     0.75     0.66    0.001   118.73
 93   14.027   12.663    0.12   2   1     0.74     0.67    0.001   118.73
 94   13.927   12.773    0.12   2   1     0.74     0.68    0.001   118.73
 95   13.826   12.882    0.12   2   1     0.73     0.68    0.001   118.73
 96   13.725   12.990    0.12   2   1     0.73     0.69    0.001   118.73
 97   13.622   13.097    0.12   2   1     0.72     0.69    0.001   118.73
 98   13.519   13.204    0.12   2   1     0.72     0.70    0.001   118.73
 99   13.415   13.310    0.12   2   1     0.71     0.70    0.001   118.73
100   13.310   13.415    0.13   2   1     0.70     0.71    0.001   118.73
101   13.204   13.519    0.13   2   1     0.70     0.72    0.001   118.73
102   13.097   13.622    0.13   2   1     0.69     0.72    0.001   118.73
103   12.990   13.725    0.13   2   1     0.69     0.73    0.001   118.73
104   12.882   13.826    0.13   2   1     0.68     0.73    0.001   118.73
105   12.773   13.927    0.13   2   1     0.68     0.74    0.001   118.73
106   12.663   14.027    0.13   2   1     0.67     0.74    0.001   118.73
107   12.553   14.126    0.13   2   1     0.66     0.75    0.001   118.73
108   12.441   14.224    0.14   2   1     0.66     0.75    0.001   118.73
109   12.329   14.321    0.14   2   1     0.65     0.76    0.001   118.73
110   12.216   14.418    0.14   2   1     0.65     0.76    0.001   118.73
111   12.103   14.513    0.14   2   1     0.64     0.77    0.001   118.73
112   11.988   14.608    0.14   2   1     0.63     0.77    0.001   118.73
113   11.873   14.701    0.14   2   1     0.63     0.78    0.001   118.73
114   11.757   14.794    0.14   2   1     0.62     0.78    0.001   118.73
115   11.641   14.886    0.14   2   1     0.62     0.79    0.001   118.73
116   11.524   14.977    0.15   2   1     0.61     0.79    0.001   118.73
117   11.406   15.067    0.15   2   1     0.60     0.80    0.001   118.73
118   11.287   15.156    0.15   2   1     0.60     0.80    0.001   118.73
119   11.167   15.244    0.15   2   1     0.59     0.81    0.001   118.73
120   11.047   15.332    0.15   2   1     0.58     0.81    0.001   118.73
121   10.927   15.418    0.15   2   1     0.58     0.82    0.001   118.73
122   10.805   15.503    0.15   2   1     0.57     0.82    0.001   118.73
123   10.683   15.588    0.15   2   1     0.57     0.82    0.001   118.73
124   10.560   15.671    0.16   2   1     0.56     0.83    0.001   118.73
125   10.437   15.754    0.16   2   1     0.55     0.83    0.001   118.73
126   10.313   15.835    0.16   2   1     0.55     0.84    0.001   118.73
127   10.188   15.916    0.16   2   1     0.54     0.84    0.001   118.73
128   10.063   15.995    0.16   2   1     0.53     0.85    0.001   118.73
129    9.937   16.074    0.16   2   1     0.53     0.85    0.001   118.73
130    9.810   16.151    0.16   2   1     0.52     0.85    0.001   118.73
131    9.683   16.228    0.16   2   1     0.51     0.86    0.001   118.73
132    9.556   16.303    0.17   2   1     0.51     0.86    0.001   118.73
133    9.427   16.378    0.17   2   1     0.50     0.87    0.001   118.73
134    9.298   16.451    0.17   2   1     0.49     0.87    0.001   118.73
135    9.169   16.524    0.17   2   1     0.49     0.87    0.001   118.73
136    9.039   16.595    0.17   2   1     0.48     0.88    0.001   118.73
137    8.908   16.666    0.17   2   1     0.47     0.88    0.001   118.73
138    8.777   16.735    0.17   2   1     0.46     0.89    0.001   118.73
139    8.645   16.804    0.17   2   1     0.46     0.89    0.001   118.73
140    8.513   16.871    0.18   2   1     0.45     0.89    0.001   118.73
141    8.380   16.937    0.18   2   1     0.44     0.90    0.001   118.73
142    8.247   17.003    0.18   2   1     0.44     0.90    0.001   118.73
143    8.113   17.067    0.18   2   1     0.43     0.90    0.001   118.73
144    7.979   17.130    0.18   2   1     0.42     0.91    0.001   118.73
145    7.844   17.192    0.18   2   1     0.42     0.91    0.001   118.73
146    7.709   17.253    0.18   2   1     0.41     0.91    0.001   118.73
147    7.573   17.313    0.18   2   1     0.40     0.92    0.001   118.73
148    7.437   17.372    0.19   2   1     0.39     0.92    0.001   118.73
149    7.300   17.430    0.19   2   1     0.39     0.92    0.001   118.73
150    7.163   17.487    0.19   2   1     0.38     0.93    0.001   118.73
151    7.025   17.543    0.19   2   1     0.37     0.93    0.001   118.73
152    6.887   17.597    0.19   2   1     0.36     0.93    0.001   118.73
153    6.749   17.651    0.19   2   1     0.36     0.93    0.001   118.73
154    6.610   17.703    0.19   2   1     0.35     0.94    0.001   118.73
155    6.471   17.755    0.19   2   1     0.34     0.94    0.001   118.73
156    6.331   17.805    0.20   2   1     0.34     0.94    0.001   118.73
157    6.191   17.854    0.20   2   1     0.33     0.94    0.001   118.73
158    6.051   17.902    0.20   2   1     0.32     0.95    0.001   118.73
159    5.910   17.949    0.20   2   1     0.31     0.95    0.001   118.73
160    5.769   17.995    0.20   2   1     0.31     0.95    0.001   118.73
161    5.627   18.040    0.20   2   1     0.30     0.95    0.001   118.73
162    5.486   18.084    0.20   2   1     0.29     0.96    0.001   118.73
163    5.343   18.126    0.20   2   1     0.28     0.96    0.001   118.73
164    5.201   18.167    0.21   2   1     0.28     0.96    0.001   118.73
165    5.058   18.208    0.21   2   1     0.27     0.96    0.001   118.73
166    4.915   18.247    0.21   2   1     0.26     0.97    0.001   118.73
167    4.771   18.285    0.21   2   1     0.25     0.97    0.001   118.73
168    4.628   18.322    0.21   2   1     0.24     0.97    0.001   118.73
169    4.484   18.358    0.21   2   1     0.24     0.97    0.001   118.73
170    4.339   18.392    0.21   2   1     0.23     0.97    0.001   118.73
171    4.195   18.426    0.21   2   1     0.22     0.98    0.001   118.73
172    4.050   18.458    0.22   2   1     0.21     0.98    0.001   118.73
173    3.905   18.489    0.22   2   1     0.21     0.98    0.001   118.73
174    3.759   18.520    0.22   2   1     0.20     0.98    0.001   118.73
175    3.614   18.548    0.22   2   1     0.19     0.98    0.001   118.73
176    3.468   18.576    0.22   2   1     0.18     0.98    0.001   118.73
177    3.322   18.603    0.22   2   1     0.18     0.98    0.001   118.73
178    3.176   18.628    0.22   2   1     0.17     0.99    0.001   118.73
179    3.029   18.653    0.22   2   1     0.16     0.99    0.001   118.73
180    2.883   18.676    0.23   2   1     0.15     0.99    0.001   118.73
181    2.736   18.698    0.23   2   1     0.14     0.99    0.001   118.73
182    2.589   18.719    0.23   2   1     0.14     0.99    0.001   118.73
183    2.442   18.739    0.23   2   1     0.13     0.99    0.001   118.73
184    2.295   18.757    0.23   2   1     0.12     0.99    0.001   118.73
185    2.147   18.775    0.23   2   1     0.11     0.99    0.001   118.73
186    2.000   18.791    0.23   2   1     0.11     0.99    0.001   118.73
187    1.852   18.806    0.23   2   1     0.10     1.00    0.001   118.73
188    1.704   18.820    0.24   2   1     0.09     1.00    0.001   118.73
189    1.557   18.833    0.24   2   1     0.08     1.00    0.001   118.73
190    1.409   18.845    0.24   2   1     0.07     1.00    0.001   118.73
191    1.261   18.855    0.24   2   1     0.07     1.00    0.001   118.73
192    1.112   18.864    0.24   2   1     0.06     1.00    0.001   118.73
193    0.964   18.873    0.24   2   1     0.05     1.00    0.001   118.73
194    0.816   18.880    0.24   2   1     0.04     1.00    0.001   118.73
195    0.668   18.885    0.24   2   1     0.04     1.00    0.001   118.73
196    0.519   18.890    0.25   2   1     0.03     1.00    0.001   118.73
197    0.371   18.894    0.25   2   1     0.02     1.00    0.001   118.73
198    0.223   18.896    0.25   2   1     0.01     1.00    0.001   118.73
199    0.074   18.897    0.25   2   1     0.00     1.00    0.001   118.73
200   -0.074   18.897    0.25   2   1    -0.00     1.00    0.001   118.73
201   -0.223   18.896    0.25   2   1    -0.01     1.00    0.001   118.73
202   -0.371   18.894    0.25   2   1    -0.02     1.00    0.001   118.73
203   -0.519   18.890    0.25   2   1    -0.03     1.00    0.001   118.73
204   -0.668   18.885    0.26   2   1    -0.04     1.00    0.001   118.73
205   -0.816   18.880    0.26   2   1    -0.04     1.00    0.001   118.73
206   -0.964   18.873    0.26   2   1    -0.05     1.00    0.001   118.73
207   -1.112   18.864    0.26   2   1    -0.06     1.00    0.001   118.73
208   -1.261   18.855    0.26   2   1    -0.07     1.00    0.001   118.73
209   -1.409   18.845    0.26   2   1    -0.07     1.00    0.001   118.73
210   -1.557   18.833    0.26   2   1    -0.08     1.00    0.001   118.73
211   -1.704   18.820    0.26   2   1    -0.09     1.00    0.001   118.73
212   -1.852   18.806    0.27   2   1    -0.10     1.00    0.001   118.73
213   -2.000   18.791    0.27   2   1    -0.11     0.99    0.001   118.73
214   -2.147   18.775    0.27   2   1    -0.11     0.99    0.001   118.73
215   -2.295   18.757    0.27   2   1    -0.12     0.99    0.001   118.73
216   -2.442   18.739    0.27   2   1    -0.13     0.99    0.001   118.73
217   -2.589   18.719    0.27   2   1    -0.14     0.99    0.001   118.73
218   -2.736   18.698    0.27   2   1    -0.14     0.99    0.001   118.73
219   -2.883   18.676    0.27   2   1    -0.15     0.99    0.001   118.73
220   -3.029   18.653    0.28   2   1    -0.16     0.99    0.001   118.73
221   -3.176   18.628    0.28   2   1    -0.17     0.99    0.001   118.73
222   -3.322   18.603    0.28   2   1    -0.18     0.98    0.001   118.73
223   -3.468   18.576    0.28   2   1    -0.18     0.98    0.001   118.73
224   -3.614   18.548    0.28   2   1    -0.19     0.98    0.001   118.73
225   -3.759   18.520    0.28   2   1    -0.20     0.98    0.001   118.73
226   -3.905   18.489    0.28   2   1    -0.21     0.98    0.001   118.73
227   -4.050   18.458    0.28   2   1    -0.21     0.98    0.001   118.73
228   -4.195   18.426    0.29   2   1    -0.22     0.98    0.001   118.73
229   -4.339   18.392    0.29   2   1    -0.23     0.97    0.001   118.73
230   -4.484   18.358    0.29   2   1    -0.24     0.97    0.001   118.73
231   -4.628   18.322    0.29   2   1    -0.24     0.97    0.001   118.73
232   -4.771   18.285    0.29   2   1    -0.25     0.97    0.001   118.73
233   -4.915   18.247    0.29   2   1    -0.26     0.97    0.001   118.73
234   -5.058   18.208    0.29   2   1    -0.27     0.96    0.001   118.73
235   -5.201   18.167    0.29   2   1    -0.28     0.96    0.001   118.73
236   -5.343   18.126    0.30   2   1    -0.28     0.96    0.001   118.73
237   -5.486   18.084    0.30   2   1    -0.29     0.96    0.001   118.73
238   -5.627   18.040    0.30   2   1    -0.30     0.95    0.001   118.73
239   -5.769   17.995    0.30   2   1    -0.31     0.95    0.001   118.73
240   -5.910   17.949    0.30   2   1    -0.31     0.95    0.001   118.73
241   -6.051   17.902    0.30   2   1    -0.32     0.95    0.001   118.73
242   -6.191   17.854    0.30   2   1    -0.33     0.94    0.001   118.73
243   -6.331   17.805    0.30   2   1    -0.34     0.94    0.001   118.73
244   -6.471   17.755    0.31   2   1    -0.34     0.94    0.001   118.73
245   -6.610   17.703    0.31   2   1    -0.35     0.94    0.001   118.73
246   -6.749   17.651    0.31   2   1    -0.36     0.93    0.001   118.73
247   -6.887   17.597    0.31   2   1    -0.36     0.93    0.001   118.73
248   -7.025   17.543    0.31   2   1    -0.37     0.93    0.001   118.73
249   -7.163   17.487    0.31   2   1    -0.38     0.93    0.001   118.73
250   -7.300   17.430    0.31   2   1    -0.39     0.92    0.001   118.73
251   -7.437   17.372    0.31   2   1    -0.39     0.92    0.001   118.73
252   -7.573   17.313    0.32   2   1    -0.40     0.92    0.001   118.73
253   -7.709   17.253    0.32   2   1    -0.41     0.91    0.001   118.73
254   -7.844   17.192    0.32   2   1    -0.42     0.91    0.001   118.73
255   -7.979   17.130    0.32   2   1    -0.42     0.91    0.001   118.73
256   -8.113   17.067    0.32   2   1    -0.43     0.90    0.001   118.73
257   -8.247   17.003    0.32   2   1    -0.44     0.90    0.001   118.73
258   -8.380   16.937    0.32   2   1    -0.44     0.90    0.001   118.73
259   -8.513   16.871    0.32   2   1    -0.45     0.89    0.001   118.73
260   -8.645   16.804    0.33   2   1    -0.46     0.89    0.001   118.73
