-0.110831 -0.110831 0.337439
-0.110831 -0.110275 0.337437
-0.110831 -0.10972 0.337277
-0.110831 -0.109164 0.336973
-0.110831 -0.108608 0.33652
-0.110831 -0.108053 0.335938
-0.110831 -0.107497 0.335224
-0.110831 -0.106942 0.334396
-0.110831 -0.106386 0.333461
-0.110831 -0.105831 0.332427
-0.110831 -0.105275 0.331312
-0.110831 -0.10472 0.330119
-0.110831 -0.104164 0.328865
-0.110831 -0.103609 0.32756
-0.110831 -0.103053 0.326217
-0.110831 -0.102497 0.324848
-0.110831 -0.101942 0.323464
-0.110831 -0.101386 0.322087
-0.110831 -0.100831 0.320719
-0.110831 -0.100275 0.319379
-0.110831 -0.0997198 0.318078
-0.110831 -0.0991642 0.316829
-0.110831 -0.0986087 0.315638
-0.110831 -0.0980532 0.314526
-0.110831 -0.0974976 0.313499
-0.110831 -0.0969421 0.31257
-0.110831 -0.0963865 0.311748
-0.110831 -0.095831 0.311043
-0.110831 -0.0952754 0.310465
-0.110831 -0.0947199 0.310017
-0.110831 -0.0941644 0.309718
-0.110831 -0.0936088 0.309563
-0.110831 -0.0930533 0.309564
-0.110831 -0.0924977 0.309725
-0.110831 -0.0919422 0.310051
-0.110831 -0.0913866 0.310545
-0.110831 -0.0908311 0.311214
-0.110831 -0.0902756 0.312062
-0.110831 -0.08972 0.313084
-0.110831 -0.0891645 0.314281
-0.110831 -0.0886089 0.315663
-0.110831 -0.0880534 0.31723
-0.110831 -0.0874979 0.318978
-0.110831 -0.0869423 0.32091
-0.110831 -0.0863868 0.323027
-0.110831 -0.0858312 0.325327
-0.110831 -0.0852757 0.32781
-0.110831 -0.0847201 0.330476
-0.110831 -0.0841646 0.333324
-0.110831 -0.0836091 0.336355
-0.110831 -0.0830535 0.339568
-0.110831 -0.082498 0.342961
-0.110831 -0.0819424 0.346537
-0.110831 -0.0813869 0.350293
-0.110831 -0.0808314 0.35423
-0.110831 -0.0802758 0.358348
-0.110831 -0.0797203 0.362647
-0.110831 -0.0791647 0.367129
-0.110831 -0.0786092 0.371792
-0.110831 -0.0780536 0.376638
-0.110831 -0.0774981 0.381669
-0.110831 -0.0769426 0.386892
-0.110831 -0.076387 0.392301
-0.110831 -0.0758315 0.397901
-0.110831 -0.0752759 0.40369
-0.110831 -0.0747204 0.409687
-0.110831 -0.0741648 0.415863
-0.110831 -0.0736093 0.422272
-0.110831 -0.0730538 0.428852
-0.110831 -0.0724982 0.435661
-0.110831 -0.0719427 0.44269
-0.110831 -0.0713871 0.449936
-0.110831 -0.0708316 0.457395
-0.110831 -0.0702761 0.465095
-0.110831 -0.0697205 0.473039
-0.110831 -0.069165 0.481229
-0.110831 -0.0686094 0.489669
-0.110831 -0.0680539 0.498384
-0.110831 -0.0674983 0.507344
-0.110831 -0.0669428 0.516593
-0.110831 -0.0663873 0.526129
-0.110831 -0.0658317 0.535965
-0.110831 -0.0652762 0.54611
-0.110831 -0.0647206 0.556573
-0.110831 -0.0641651 0.567369
-0.110831 -0.0636096 0.578496
-0.110831 -0.063054 0.590015
-0.110831 -0.0624985 0.601874
-0.110831 -0.0619429 0.614164
-0.110831 -0.0613874 0.62679
-0.110831 -0.0608318 0.639854
-0.110831 -0.0602763 0.653378
-0.110831 -0.0597208 0.667345
-0.110831 -0.0591652 0.681785
-0.110831 -0.0586097 0.69672
-0.110831 -0.0580541 0.712167
-0.110831 -0.0574986 0.728155
-0.110831 -0.056943 0.744698
-0.110831 -0.0563875 0.761829
-0.110831 -0.055832 0.779567
-0.110831 -0.0552764 0.797952
-0.110831 -0.0547209 0.816999
-0.110831 -0.0541653 0.83675
-0.110831 -0.0536098 0.857222
-0.110831 -0.0530543 0.878458
-0.110831 -0.0524987 0.900496
-0.110831 -0.0519432 0.923272
-0.110831 -0.0513876 0.947071
-0.110831 -0.0508321 0.971698
-0.110831 -0.0502765 0.997371
-0.110831 -0.049721 1.02395
-0.110831 -0.0491655 1.05161
-0.110831 -0.0486099 1.08034
-0.110831 -0.0480544 1.11026
-0.110831 -0.0474988 1.1415
-0.110831 -0.0469433 1.17369
-0.110831 -0.0463878 1.20738
-0.110831 -0.0458322 1.24237
-0.110831 -0.0452767 1.2789
-0.110831 -0.0447211 1.31687
-0.110831 -0.0441656 1.35656
-0.110831 -0.04361 1.39767
-0.110831 -0.0430545 1.4406
-0.110831 -0.042499 1.48537
-0.110831 -0.0419434 1.53202
-0.110831 -0.0413879 1.58064
-0.110831 -0.0408323 1.63132
-0.110831 -0.0402768 1.68423
-0.110831 -0.0397212 1.73934
-0.110831 -0.0391657 1.79669
-0.110831 -0.0386102 1.85675
-0.110831 -0.0380546 1.91919
-0.110831 -0.0374991 1.98439
-0.110831 -0.0369435 2.0522
-0.110831 -0.036388 2.12322
-0.110831 -0.0358325 2.19712
-0.110831 -0.0352769 2.27416
-0.110831 -0.0347214 2.35498
-0.110831 -0.0341658 2.43813
